City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Saint George,US,37.1041,-113.5841,95.0,7,1,9.22,clear sky
158,Yellowknife,CA,62.456,-114.3525,57.72,39,75,12.66,broken clouds
159,Cherskiy,RU,68.75,161.3,59.9,24,100,14.38,overcast clouds
160,Nenjiang,CN,49.1833,125.2167,57.22,59,14,7.45,few clouds
161,Carnot,CF,4.9409,15.8665,68.97,97,69,0.76,broken clouds
162,Victoria,HK,22.2855,114.1577,90.32,80,99,1.01,overcast clouds
163,Riyadh,SA,24.6877,46.7219,87.94,10,0,8.05,clear sky
164,Sinegorye,RU,62.0788,150.477,47.28,67,72,7.78,light rain
165,Hasaki,JP,35.7333,140.8333,73.99,56,75,5.75,broken clouds
166,Kuytun,RU,54.3419,101.5036,45.19,55,100,5.75,overcast clouds
167,Petrovskoye,RU,57.0104,39.2693,54.64,98,71,4.54,light rain
168,Ruteng,ID,-8.6136,120.4721,66.42,86,69,2.71,broken clouds
169,Yabrud,SY,33.9674,36.6574,61.52,33,0,3.74,clear sky
170,Lesozavodsk,RU,45.4794,133.4244,58.24,66,85,4.94,overcast clouds
171,Jasper,US,37.2001,-94.3502,66.99,92,75,5.99,broken clouds
172,Gold Coast,AU,-28.0,153.4333,69.19,68,0,4.16,clear sky
173,Grindavik,IS,63.8424,-22.4338,46.87,61,75,31.92,broken clouds
174,Pisco,PE,-13.7,-76.2167,65.01,94,90,8.05,overcast clouds
175,La Ronge,CA,55.1001,-105.2842,66.42,25,20,16.11,few clouds
176,Alvinopolis,BR,-20.1067,-43.0489,65.53,93,36,1.54,scattered clouds
177,Torbay,CA,47.6666,-52.7314,54.88,96,90,24.16,overcast clouds
178,Kaitangata,NZ,-46.2817,169.8464,46.18,91,100,3.31,overcast clouds
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.05,89,15,4.92,few clouds
180,Jiuquan,CN,39.7432,98.5174,75.52,14,99,1.19,overcast clouds
181,Ilulissat,GL,69.2167,-51.1,53.62,32,82,9.22,broken clouds
182,Mingshui,CN,36.7167,117.5,71.87,27,1,20.18,clear sky
183,Nainpur,IN,22.4333,80.1167,83.37,41,100,2.84,overcast clouds
184,Port Macquarie,AU,-31.4333,152.9167,62.89,56,0,12.88,clear sky
185,Richards Bay,ZA,-28.783,32.0377,64.9,58,70,10.09,broken clouds
186,Thompson,CA,55.7435,-97.8558,55.56,30,75,11.5,broken clouds
187,Donabate,IE,53.4872,-6.1519,53.01,93,75,4.61,light rain
188,Moron,AR,-34.6534,-58.6198,66.09,70,8,3.0,clear sky
189,Roald,NO,62.5833,6.1333,48.34,93,90,8.05,overcast clouds
190,Omboue,GA,-1.5746,9.2618,75.52,92,95,4.9,overcast clouds
191,Abu Dhabi,AE,24.4667,54.3667,87.82,51,0,12.46,clear sky
192,Caravelas,BR,-17.7125,-39.2481,74.12,83,38,6.71,scattered clouds
193,Sorland,NO,67.667,12.6934,44.24,71,99,9.78,overcast clouds
194,Ancud,CL,-41.8697,-73.8203,51.33,85,100,25.39,light rain
195,Sisimiut,GL,66.9395,-53.6735,34.9,90,70,3.42,broken clouds
196,Beringovskiy,RU,63.05,179.3167,33.24,96,99,6.2,overcast clouds
197,Prince Albert,CA,53.2001,-105.7677,66.2,26,75,23.02,broken clouds
198,Lagos,NG,6.5833,3.75,80.92,90,100,4.88,overcast clouds
199,Havelock,US,34.8791,-76.9013,78.01,88,1,3.44,clear sky
200,Kandara,IN,25.7191,73.2765,85.77,66,53,16.75,broken clouds
201,Hualmay,PE,-11.0964,-77.6139,65.84,90,35,7.74,scattered clouds
202,Comodoro Rivadavia,AR,-45.8667,-67.5,51.8,58,75,14.97,broken clouds
203,Cururupu,BR,-1.8283,-44.8683,75.81,90,49,3.06,scattered clouds
204,Osoyoos,CA,49.0331,-119.4524,72.01,17,99,11.5,overcast clouds
205,Sulangan,PH,11.1373,123.7228,83.64,76,96,5.06,overcast clouds
206,Namibe,AO,-15.1961,12.1522,74.71,63,0,4.21,clear sky
207,Chongwe,ZM,-15.3292,28.682,49.87,64,0,2.48,clear sky
208,College,US,64.8569,-147.8028,55.4,38,75,16.11,broken clouds
209,Maceio,BR,-9.6658,-35.7353,78.24,83,75,10.02,broken clouds
210,Lompoc,US,34.6391,-120.4579,75.13,76,20,16.11,few clouds
211,Constitucion,CL,-35.3333,-72.4167,56.79,94,100,6.26,overcast clouds
212,San Patricio,US,28.017,-97.5169,84.92,79,41,17.78,scattered clouds
213,Lichinga,MZ,-13.3128,35.2406,51.8,82,0,5.75,clear sky
214,Porto Novo,BJ,6.4965,2.6036,84.02,81,91,7.25,overcast clouds
215,Khash,IR,28.2211,61.2158,73.49,20,0,3.8,clear sky
216,Bukama,CD,-9.2,25.85,62.58,55,62,2.98,broken clouds
217,Bombay,IN,19.0144,72.8479,85.98,79,75,6.91,broken clouds
218,Belmonte,BR,-15.8631,-38.8828,75.7,77,4,6.71,clear sky
219,Carnarvon,AU,-24.8667,113.6333,68.07,68,36,12.66,scattered clouds
220,Palmer,US,42.1584,-72.3287,68.0,45,20,10.36,few clouds
221,Buala,SB,-8.145,159.5921,77.52,89,100,6.24,overcast clouds
222,Vardo,NO,70.3705,31.1107,36.9,76,83,23.17,broken clouds
223,Berlevag,NO,70.8578,29.0864,35.94,81,100,23.71,overcast clouds
224,Iquitos,PE,-3.7481,-73.2472,78.84,89,20,2.3,few clouds
225,Salamiyah,SY,35.0113,37.0532,66.16,65,0,9.71,clear sky
226,Shache,CN,38.4167,77.2406,69.08,24,0,7.02,clear sky
227,Filingue,NE,14.3521,3.3168,94.82,24,83,4.0,broken clouds
228,Mehamn,NO,71.0357,27.8492,36.5,71,100,21.23,overcast clouds
229,Tomatlan,MX,19.9333,-105.25,86.63,45,53,7.11,broken clouds
230,Puerto Madero,MX,14.7208,-92.4215,79.0,100,75,3.44,broken clouds
231,Manzanillo,CU,20.3433,-77.1167,79.97,72,59,12.21,light rain
232,Vestmannaeyjar,IS,63.4427,-20.2734,45.23,82,73,36.08,broken clouds
233,Khalkhal,IR,37.6189,48.5258,56.57,61,0,3.78,clear sky
234,Adrar,MR,20.5022,-10.0711,91.9,18,71,8.72,broken clouds
235,Kruisfontein,ZA,-34.0033,24.7314,54.88,77,68,6.93,broken clouds
236,Ketchikan,US,55.3422,-131.6461,61.27,55,1,12.66,clear sky
237,Grand Gaube,MU,-20.0064,57.6608,74.37,76,15,1.99,few clouds
238,Saint-Prosper,CA,46.2117,-70.4811,47.68,54,46,4.81,scattered clouds
