City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Aquiraz,BR,2021-05-24 19:57:11,-3.9014,-38.3911,84.29,79,100,10.13
103,Cidreira,BR,2021-05-24 19:54:11,-30.1811,-50.2056,59.88,62,0,17.83
104,Yellowknife,CA,2021-05-24 19:53:22,62.456,-114.3525,42.33,38,1,4.0
105,Troitskoye,RU,2021-05-24 19:57:11,52.9821,84.6757,57.51,81,94,2.89
106,Ngunguru,NZ,2021-05-24 19:53:29,-35.6167,174.5,54.16,73,100,25.84
107,Kurtalan,TR,2021-05-24 19:57:12,37.9272,41.7028,64.62,52,59,1.48
108,Lokosovo,RU,2021-05-24 19:57:12,61.1333,74.8167,50.88,49,100,6.42
109,Kidal,ML,2021-05-24 19:57:12,18.4411,1.4078,99.16,16,61,9.13
110,Saint George,US,2021-05-24 19:52:53,37.1041,-113.5841,79.63,18,1,3.0
111,Flores Costa Cuca,GT,2021-05-24 19:57:13,14.65,-91.8167,91.31,67,40,4.21
112,Vila Real De Santo Antonio,PT,2021-05-24 19:57:13,37.195,-7.4177,73.15,44,26,13.65
113,Stornoway,GB,2021-05-24 19:57:13,58.2093,-6.3865,48.16,87,90,23.02
114,Ust-Kuyga,RU,2021-05-24 19:55:05,70.0167,135.6,43.77,53,30,3.6
115,Lodja,CD,2021-05-24 19:57:14,-3.4833,23.4333,72.54,62,82,1.41
116,Ambon,ID,2021-05-24 19:57:14,-3.6954,128.1814,79.72,82,100,6.38
117,Comodoro Rivadavia,AR,2021-05-24 19:56:31,-45.8667,-67.5,57.06,28,20,27.63
118,Bardiyah,LY,2021-05-24 19:57:15,31.7561,25.0865,70.9,66,0,5.93
119,Beyneu,KZ,2021-05-24 19:57:15,45.3167,55.2,83.59,16,2,10.89
120,Mount Gambier,AU,2021-05-24 19:52:48,-37.8333,140.7667,66.11,45,100,19.57
121,Hasaki,JP,2021-05-24 19:54:00,35.7333,140.8333,62.89,84,25,9.4
122,Lebu,CL,2021-05-24 19:52:51,-37.6167,-73.65,56.82,87,99,5.17
123,Takoradi,GH,2021-05-24 19:54:47,4.8845,-1.7554,81.27,83,45,9.24
124,Padang,ID,2021-05-24 19:54:08,-0.9492,100.3543,77.81,88,99,3.67
125,Wainwright,CA,2021-05-24 19:57:16,52.839,-110.8572,51.71,94,100,23.02
126,Nome,US,2021-05-24 19:52:02,64.5011,-165.4064,58.1,41,1,13.8
127,Hangal,IN,2021-05-24 19:57:16,14.7667,75.1333,74.3,92,100,10.27
128,Toguchin,RU,2021-05-24 19:52:22,55.2353,84.3858,56.77,63,100,5.66
129,Ewa Beach,US,2021-05-24 19:57:17,21.3156,-158.0072,83.01,69,90,3.29
130,Mizdah,LY,2021-05-24 19:52:25,31.4451,12.9801,88.09,19,62,6.2
131,China,MX,2021-05-24 19:57:17,25.7,-99.2333,95.58,35,35,12.17
132,Ketchikan,US,2021-05-24 19:53:04,55.3422,-131.6461,53.74,65,54,3.8
133,Mancio Lima,BR,2021-05-24 19:57:17,-7.6142,-72.8958,77.07,100,90,0.78
134,Coahuayana,MX,2021-05-24 19:55:18,18.7333,-103.6833,91.13,40,0,8.5
135,Esperance,AU,2021-05-24 19:52:52,-33.8667,121.9,49.84,58,100,21.9
136,Salta,AR,2021-05-24 19:57:18,-24.7859,-65.4117,64.99,54,0,7.0
137,Latung,PH,2021-05-24 19:57:18,5.5,120.8833,83.1,70,100,2.51
138,Tasiilaq,GL,2021-05-24 19:53:13,65.6145,-37.6368,32.9,84,100,37.18
139,Kota Bahru,MY,2021-05-24 19:57:19,6.1333,102.2386,78.75,94,20,0.0
140,Saldanha,ZA,2021-05-24 19:53:13,-33.0117,17.9442,60.85,92,100,5.06
141,Sankt Florian,AT,2021-05-24 19:57:19,48.2057,14.3784,58.44,77,75,5.1
142,Kant,IN,2021-05-24 19:57:19,27.8,79.8,84.29,28,29,5.86
143,Mayo,US,2021-05-24 19:57:20,38.8876,-76.5119,64.51,72,100,8.01
144,Neiafu,TO,2021-05-24 19:57:20,-18.65,-173.9833,72.28,100,20,0.0
145,Prince Rupert,CA,2021-05-24 19:57:20,54.3161,-130.3201,53.69,66,40,8.05
146,Castro,BR,2021-05-24 19:54:03,-24.7911,-50.0119,53.87,65,88,3.36
147,Laguna,US,2021-05-24 19:57:21,38.421,-121.4238,86.61,35,1,1.99
148,Chake Chake,TZ,2021-05-24 19:57:21,-5.2459,39.7666,76.8,70,4,12.5
149,Jacareacanga,BR,2021-05-24 19:57:21,-6.2222,-57.7528,91.71,55,20,4.61
150,Omboue,GA,2021-05-24 19:57:22,-1.5746,9.2618,77.88,92,100,6.38
151,Agirish,RU,2021-05-24 19:57:22,61.9247,63.0231,52.3,93,100,6.17
152,Saint-Augustin,CA,2021-05-24 19:54:01,51.226,-58.6502,49.17,30,100,15.23
153,Loanda,AO,2021-05-24 19:55:36,-8.8368,13.2343,80.6,83,40,8.05
154,Shahrud,IR,2021-05-24 19:57:23,36.4182,54.9763,67.41,42,99,6.49
